BEAMS
BinSize:0.625,Temperature:39.500K,Field:0.000G,Sample:nano-Mn3O4,Orientation:powder,NumBins:16384,NumHists:5,RunNumber:7387,Title:nano-Mn3O4 zero field
Forward,Backward,Up,Down,Right
1252,1655,2173,1966,367
1162,1624,2249,2030,325
1195,1664,2068,2043,344
1218,1592,2103,1994,337
1188,1705,2119,2009,311
1155,1636,2177,2003,314
1151,1656,2139,1965,329
1185,1602,2129,1991,374
1204,1707,2095,1926,363
1162,1677,2206,2011,326
1205,1626,2142,1983,347
1175,1634,2094,1969,357
1226,1638,2178,2010,329
1201,1681,2106,1968,330
1194,1684,2099,2066,335
1167,1666,2080,2040,338
1172,1629,2156,1986,336
1151,1618,2043,2002,325
1246,1657,2217,1959,367
1179,1736,2050,1910,314
1188,1719,2143,1986,333
1219,1640,2112,1963,341
1224,1604,2169,2065,333
1206,1639,2119,2084,351
1169,1652,2054,2017,344
1188,1630,2123,1979,354
1158,1659,2162,1958,335
1240,1638,2089,2044,351
1250,1677,2059,1954,339
1222,1679,2127,1979,380
1215,1671,2118,1991,319
1226,1600,1974,1985,383
1200,1591,2112,1970,335
1203,1599,2106,1993,352
1183,1632,2104,2011,357
1188,1606,2112,1939,366
1136,1531,2196,1941,353
1167,1618,2137,1971,362
1239,1556,2138,1977,361
1215,1610,2041,2002,350
1216,1711,2077,2012,331
1240,1700,2029,1902,311
1199,1630,2158,1940,328
1181,1640,2106,2002,321
1146,1664,2090,1996,339
1130,1602,2159,1952,323
1228,1646,2050,2050,382
1204,1698,2034,1968,337
1186,1574,2062,1924,339
1205,1625,2007,1997,378
1210,1612,2041,1868,348
1232,1662,2112,1958,361
1198,1583,2180,1918,327
1147,1619,2094,1880,340
1133,1688,2062,2045,347
1172,1624,2093,2044,330
1185,1641,2125,1997,339
1237,1649,2105,2000,350
1188,1660,2098,1895,342
1183,1599,2087,1970,334
1207,1582,2055,2012,342
1187,1648,2116,1982,350
1206,1665,2124,1988,310
1220,1595,2145,1918,323
1203,1595,2123,1944,381
1194,1670,2044,2017,350
1170,1661,2050,1971,315
1205,1686,2046,1940,330
1216,1545,2139,1952,311
1203,1588,2065,1998,337
1156,1628,2091,1972,370
1146,1628,2087,1971,342
1197,1566,2125,1958,387
1158,1625,2039,1951,332
1171,1532,2092,1942,339
1194,1567,2022,1910,368
1157,1604,2100,1950,360
1174,1610,1991,2001,341
1096,1654,2039,1911,317
1110,1711,2224,1979,338
1189,1614,2128,1987,352
1181,1675,1985,1912,363
1223,1567,2087,2018,344
1229,1609,2114,1953,368
1154,1582,2081,1899,329
1172,1650,2020,1914,325
1159,1582,2081,1950,337
1182,1567,2082,1936,376
1194,1598,2062,1951,320
1248,1707,2156,1968,306
1230,1623,2118,1862,371
1232,1523,2034,1929,289
1142,1619,2072,1943,324
1134,1576,1980,1970,327
1165,1674,2004,1970,346
1106,1607,2181,1976,345
1162,1612,2030,2011,361
1162,1630,2121,1830,349
1175,1543,2108,1941,367
1144,1596,2096,2015,314
1206,1529,2033,1917,327
1166,1652,2057,1881,318
1195,1625,2048,1970,346
1181,1573,2014,1915,329
1161,1590,2066,1915,349
1173,1587,2085,1960,354
1199,1569,2048,1956,373
1177,1583,2046,1916,318
1132,1586,2011,1950,350
1186,1568,2042,1995,343
1168,1573,2084,1926,327
1151,1575,2046,1949,318
1225,1595,2047,1984,378
1168,1567,2113,1926,310
1197,1594,2090,1962,344
1185,1574,1964,1971,318
1129,1519,2078,1920,313
1209,1531,2008,1890,347
1147,1574,2098,1897,324
1181,1558,2156,1959,329
1144,1549,2006,1914,331
1182,1601,2122,1899,312
1162,1604,2042,1981,334
1160,1571,2064,1894,362
1172,1490,2074,1926,327
1206,1598,2024,1900,325
1224,1596,2016,1882,343
1225,1506,1905,1881,341
1191,1627,2040,1960,310
1185,1536,2033,1924,353
1087,1568,2058,1964,330
1166,1593,2026,1985,307
1173,1579,2081,1928,306
1202,1627,2029,1878,344
1169,1545,2043,1925,375
1142,1606,1928,1868,312
1148,1584,2051,1907,323
1190,1573,2077,1933,321
1172,1604,2001,1953,318
1197,1588,2029,1973,334
1126,1589,2077,1924,285
1233,1552,2002,1898,335
1218,1548,2116,1866,346
1158,1534,2050,1917,339
1220,1602,2057,1897,358
1180,1626,2044,1884,321
1167,1640,1957,1859,328
1186,1662,2017,1908,335
1152,1529,2029,1774,311
1167,1634,2081,1959,379
1191,1545,2003,1908,306
1137,1489,2005,1852,328
1197,1618,2098,1855,340
1210,1563,2110,1967,335
1158,1502,2129,1958,364
1124,1574,1993,1937,320
1143,1567,2061,1906,314
1131,1539,2032,1869,319
1232,1530,1980,1929,336
1177,1605,1982,1911,334
1164,1531,2100,1953,334
1167,1531,2017,1938,317
1127,1533,2043,1855,330
1142,1610,2021,1904,339
1176,1540,1986,1873,364
1147,1501,2025,2013,343
1198,1602,2023,1926,338
1127,1537,1971,1850,338
1152,1502,1972,1836,331
1140,1584,2015,1949,335
1129,1555,2011,1912,317
1134,1516,2069,1865,348
1152,1509,2034,1965,348
1130,1571,1971,1914,346
1150,1546,1993,1867,316
1203,1576,2059,1875,339
1152,1588,2089,1901,303
1209,1540,2018,1847,339
1155,1532,2043,1911,346
1082,1618,2072,1976,334
1149,1524,1972,1950,326
1160,1551,2038,1817,287
1103,1555,2021,1911,321
1156,1582,1953,1872,328
1202,1532,2006,1841,327
1135,1503,1967,1895,353
1153,1495,2049,1812,332
1148,1550,2026,1871,334
1230,1544,2034,1913,334
1147,1503,1974,1920,327
1159,1516,2033,1878,319
1162,1537,2093,1807,316
1168,1615,2035,1816,342
1196,1595,1970,1870,358
1158,1455,1935,1916,322
1157,1522,1928,1943,325
1134,1535,1997,1882,374
1130,1466,2026,1903,330
1178,1611,2003,1862,338
1121,1537,2053,1939,322
1139,1541,1975,1893,322
1183,1523,2021,1899,334
1137,1537,2088,1918,329
1138,1614,1932,1812,317
1140,1571,1977,1867,302
1204,1546,1956,1863,328
1191,1473,1990,1869,351
1245,1584,1973,1956,337
1139,1498,2030,1961,293
1129,1504,2033,1908,270
1184,1539,1994,1939,361
1175,1609,1968,1917,299
1150,1552,2000,1950,351
1121,1541,2063,1872,308
1273,1549,1967,1918,315
1141,1480,1993,1971,309
1118,1563,1971,1858,324
1157,1506,1996,1826,330
1132,1529,1990,1899,337
1090,1492,1976,1892,328
1216,1512,1976,1941,311
1142,1497,2052,1864,325
1174,1585,2063,1904,329
1145,1452,1858,1870,332
1163,1529,2064,1878,355
1163,1545,2035,1837,310
1130,1497,2001,1936,325
1117,1539,2004,1899,285
